,Date,Open,High,Low,Close,Volume
219,02/19/2019,171.39,172.8,171.38,172.28,"19,487,680"
220,02/15/2019,172.51,172.56,171.14,171.94,"32,521,689"
221,02/14/2019,170.38,171.83,169.83,171.22,"30,326,830"
222,02/13/2019,171.62,172.16,170.82,171.01,"26,094,141"
223,02/12/2019,169.59,171.14,169.33,170.89,"29,722,070"
224,02/11/2019,169.14,169.58,167.98,168.4,"21,434,090"
225,02/08/2019,166.73,168.59,166.57,168.56,"29,020,750"
226,02/07/2019,169.03,169.45,166.95,168.23,"42,036,191"
227,02/06/2019,171.06,171.37,169.75,170.52,"27,970,010"
228,02/05/2019,169.75,171.23,169.69,171.03,"28,156,369"
229,02/04/2019,167.51,169.53,167.33,169.53,"26,718,779"
230,02/01/2019,167.37,168.6,166.99,167.45,"32,143,670"
231,01/31/2019,166.65,168.99,166.47,168.16,"37,258,359"
232,01/30/2019,163.39,166.28,162.89,165.68,"41,346,527"
233,01/29/2019,163.2,163.24,160.99,161.57,"30,784,180"
234,01/28/2019,163.03,163.12,161.75,163.11,"33,491,219"
235,01/25/2019,164.48,165.65,163.95,165.15,"36,466,070"
236,01/24/2019,162.66,163.44,162.06,163.2,"32,413,350"
237,01/23/2019,162.77,163.51,160.32,162.15,"38,106,059"
238,01/22/2019,164.05,164.14,160.76,161.94,"56,711,688"
239,01/18/2019,164.84,166.02,163.82,165.25,"57,183,238"
240,01/17/2019,161.84,164.36,161.57,163.63,"39,328,961"
241,01/16/2019,162.63,163.78,162.29,162.35,"33,812,191"
242,01/15/2019,159.97,162.6,159.91,162.38,"40,874,219"
243,01/14/2019,159.32,159.96,158.59,159.27,"30,710,230"
244,01/11/2019,160.32,160.86,159.79,160.69,"30,176,641"
245,01/10/2019,159.59,161.37,158.7,161.28,"38,943,406"
246,01/09/2019,160.15,161.52,159.47,160.82,"46,491,754"
247,01/08/2019,159.56,160.11,157.2,159.52,"49,388,688"
248,01/07/2019,156.54,158.86,156.11,158.09,"52,059,328"
249,01/04/2019,152.18,157.0,151.74,156.23,"74,709,320"
250,01/03/2019,152.6,153.26,149.49,149.82,"74,820,234"
251,01/02/2019,150.99,155.75,150.88,154.88,"58,576,672"
0,12/31/2020,312.87,314.24,311.76,313.74,"21,611,410"
1,12/30/2020,314.16,314.49,312.33,312.97,"18,138,070"
2,12/29/2020,314.05,314.69,312.03,312.96,"25,871,930"
3,12/28/2020,312.25,313.17,310.36,312.68,"22,497,750"
4,12/24/2020,308.47,310.02,308.39,309.56,"16,785,000"
5,12/23/2020,309.81,310.18,308.04,308.2,"21,201,279"
6,12/22/2020,309.85,310.71,306.85,309.76,"26,378,340"
7,12/21/2020,306.46,309.47,303.6,308.92,"37,095,480"
8,12/18/2020,311.66,311.98,307.61,310.06,"41,173,391"
9,12/17/2020,310.63,311.24,309.39,311.0,"23,730,520"
10,12/16/2020,307.7,309.79,306.62,308.98,"25,461,891"
11,12/15/2020,306.37,307.29,304.11,307.29,"25,790,461"
12,12/14/2020,303.08,306.05,303.01,304.04,"28,804,830"
13,12/11/2020,300.81,301.98,298.47,301.85,"26,760,420"
14,12/10/2020,299.21,303.68,298.09,302.52,"27,519,539"
15,12/09/2020,308.07,308.36,300.21,301.31,"48,839,312"
16,12/08/2020,306.76,308.6,304.95,308.29,"18,341,461"
17,12/07/2020,305.71,307.63,305.52,307.25,"20,850,971"
18,12/04/2020,304.33,305.67,303.63,305.52,"19,332,080"
19,12/03/2020,304.07,305.88,303.53,304.28,"22,828,730"
20,12/02/2020,302.22,304.2,300.35,303.85,"23,620,000"
21,12/01/2020,301.87,305.14,300.83,303.46,"27,642,641"
22,11/30/2020,299.3,299.97,294.78,299.62,"27,836,230"
23,11/27/2020,298.29,300.17,297.9,299.01,"17,163,119"
24,11/25/2020,295.44,296.94,294.59,296.28,"23,326,830"
25,11/24/2020,291.49,294.98,289.63,294.47,"24,516,789"
26,11/23/2020,291.41,292.75,288.07,290.39,"26,875,590"
27,11/20/2020,292.3,293.07,290.29,290.38,"25,907,311"
28,11/19/2020,289.48,292.7,288.85,292.38,"22,718,420"
29,11/18/2020,291.7,293.37,290.02,290.11,"28,069,619"
30,11/17/2020,293.4,293.74,291.61,292.27,"21,843,461"
31,11/16/2020,290.68,293.51,289.99,293.2,"30,168,359"
32,11/13/2020,290.01,291.57,287.87,290.93,"24,880,580"
33,11/12/2020,290.72,292.07,287.25,288.4,"34,516,832"
34,11/11/2020,285.92,290.25,283.38,289.76,"36,102,930"
35,11/10/2020,285.26,286.66,280.62,283.42,"69,024,883"
36,11/09/2020,297.31,299.14,288.12,288.59,"86,537,070"
37,11/06/2020,293.58,295.36,289.83,294.61,"40,959,762"
38,11/05/2020,293.41,295.39,292.0,294.39,"52,054,191"
39,11/04/2020,283.56,288.77,281.87,286.91,"75,728,211"
40,11/03/2020,271.86,276.82,270.84,274.65,"43,604,152"
41,11/02/2020,271.73,273.52,266.97,269.98,"39,987,406"
42,10/30/2020,274.38,275.24,267.07,269.38,"65,935,891"
43,10/29/2020,273.04,279.49,272.52,276.39,"43,246,301"
44,10/28/2020,278.13,278.64,271.38,271.64,"53,413,520"
45,10/27/2020,281.42,283.51,280.2,282.66,"30,559,119"
46,10/26/2020,282.32,285.3,276.76,280.47,"38,421,090"
47,10/23/2020,284.79,284.91,281.78,284.74,"24,658,539"
48,10/22/2020,285.05,285.98,280.82,284.18,"32,196,160"
49,10/21/2020,284.67,287.32,283.69,284.19,"29,306,141"
50,10/20/2020,284.56,287.62,282.95,284.41,"32,195,359"
51,10/19/2020,290.49,291.48,282.79,283.8,"36,756,754"
52,10/16/2020,291.8,293.27,288.15,288.51,"40,570,699"
53,10/15/2020,287.25,290.71,286.54,290.1,"42,514,180"
54,10/14/2020,295.32,296.35,290.26,292.06,"37,181,230"
55,10/13/2020,296.34,297.05,293.11,294.52,"64,240,031"
56,10/12/2020,290.6,297.46,289.47,294.53,"79,370,656"
57,10/09/2020,283.09,285.79,282.71,285.71,"30,201,141"
58,10/08/2020,282.32,282.47,280.31,281.41,"25,443,289"
59,10/07/2020,277.83,280.74,277.28,279.92,"27,539,660"
